"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster.Â.","roster.Exp","roster.College","Team"
"1","34","Giannis Antetokounmpo","PG","6-11","222","December 6, 1994","gr","2","","MIL"
"2","19","Jerryd Bayless","SG","6-3","200","August 20, 1988","us","7","University of Arizona","MIL"
"3","5","Michael Carter-Williams","PG","6-6","190","October 10, 1991","us","2","Syracuse University","MIL"
"4","9","Chris Copeland","PF","6-9","239","March 17, 1984","us","3","University of Colorado","MIL"
"5","9","Jared Cunningham","SG","6-4","195","May 22, 1991","us","3","Oregon State University","MIL"
"6","11","Tyler Ennis","PG","6-3","194","August 24, 1994","ca","1","Syracuse University","MIL"
"7","31","John Henson","C","6-11","229","December 28, 1990","us","3","University of North Carolina","MIL"
"8","17","Damien Inglis","SF","6-8","246","May 20, 1995","gf","R","","MIL"
"9","3","O.J. Mayo","SG","6-5","210","November 5, 1987","us","7","University of Southern California","MIL"
"10","22","Khris Middleton","SG","6-8","234","August 12, 1991","us","3","Texas A&M University","MIL"
"11","15","Greg Monroe","C","6-11","265","June 4, 1990","us","5","Georgetown University","MIL"
"12","6","Steve Novak","PF","6-10","225","June 13, 1983","us","9","Marquette University","MIL"
"13","77","Johnny O'Bryant","PF","6-9","257","June 1, 1993","us","1","Louisiana State University","MIL"
"14","12","Jabari Parker","PF","6-8","250","March 15, 1995","us","1","Duke University","MIL"
"15","18","Miles Plumlee","C","6-11","249","September 1, 1988","us","3","Duke University","MIL"
"16","21","Greivis Vasquez","PG","6-6","217","January 16, 1987","ve","5","University of Maryland","MIL"
"17","20","Rashad Vaughn","SG","6-6","202","August 16, 1996","us","R","University of Nevada, Las Vegas","MIL"
