"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster.Â.","roster.Exp","roster.College","Team"
"1","6","Alan Anderson","SG","6-6","220","October 16, 1982","us","6","Michigan State University","WAS"
"2","3","Bradley Beal","SG","6-5","207","June 28, 1993","us","3","University of Florida","WAS"
"3","45","DeJuan Blair","C","6-7","270","April 22, 1989","us","6","University of Pittsburgh","WAS"
"4","1","Jared Dudley","PF","6-7","225","July 10, 1985","us","8","Boston College","WAS"
"5","8","Jarell Eddie","SF","6-7","218","October 30, 1991","us","R","Virginia Polytechnic Institute and State University","WAS"
"6","90","Drew Gooden","PF","6-10","250","September 24, 1981","us","13","University of Kansas","WAS"
"7","13","Marcin Gortat","C","6-11","240","February 17, 1984","pl","8","","WAS"
"8","21","J.J. Hickson","C","6-9","242","September 4, 1988","us","7","North Carolina State University","WAS"
"9","42","Nene Hilario","PF","6-11","250","September 13, 1982","br","13","","WAS"
"10","15","Ryan Hollins","C","7-0","240","October 10, 1984","us","9","University of California, Los Angeles","WAS"
"11","43","Kris Humphries","PF","6-9","235","February 6, 1985","us","11","University of Minnesota","WAS"
"12","5","Markieff Morris","PF","6-10","245","September 2, 1989","us","4","University of Kansas","WAS"
"13","14","Gary Neal","SG","6-4","210","October 3, 1984","us","5","Towson University","WAS"
"14","12","Kelly Oubre","SF","6-7","205","December 9, 1995","us","R","University of Kansas","WAS"
"15","22","Otto Porter","SF","6-8","198","June 3, 1993","us","2","Georgetown University","WAS"
"16","7","Ramon Sessions","PG","6-3","190","April 11, 1986","us","8","University of Nevada, Reno","WAS"
"17","17","Garrett Temple","SF","6-6","195","May 8, 1986","us","5","Louisiana State University","WAS"
"18","15","Marcus Thornton","SG","6-4","205","June 5, 1987","us","6","Louisiana State University","WAS"
"19","2","John Wall","PG","6-4","195","September 6, 1990","us","5","University of Kentucky","WAS"
