"","name","position","points","total_rebounds","assists","steals","blocks","MFG","MFT","TO","games","EFF","salary"
"291","Eric Gordon","SG",686,99,121,43,14,-321,-14,-73,45,5.86837831145022,15514031
"292","Jordan Hamilton","SF",125,62,25,8,3,-67,-7,-17,11,5.50859037961405,119462
"293","Jrue Holiday","PG",1089,195,391,88,22,-525,-34,-167,65,6.57288466544495,10595507
"294","Kendrick Perkins","C",91,128,31,11,11,-35,-14,-41,37,2.31807680747194,1499200
"295","Luke Babbitt","SF",327,148,53,11,7,-167,-11,-23,47,2.67638769826371,1100000
"296","Nate Robinson","PG",0,0,4,1,0,-1,0,0,2,0.704648144505736,44000
"297","Norris Cole","PG",477,151,167,37,5,-288,-13,-75,45,4.50834213779756,3036927
"298","Omer Asik","C",269,414,26,21,23,-91,-51,-60,68,2.69336324463725,1.1e+07
"299","Orlando Johnson","SG",10,6,2,1,0,-13,-1,-3,5,1.66308038852836,111444
"300","Ryan Anderson","PF",1124,396,73,38,25,-532,-29,-90,66,6.09967079726538,8500000
"301","Toney Douglas","PG",531,143,157,70,5,-262,-15,-64,61,3.57295370247025,1764858
"302","Tyreke Evans","SG",379,129,164,32,8,-178,-19,-73,25,9.17232944421551,11227000
"303","Arron Afflalo","SG",909,266,144,25,10,-445,-21,-82,71,4.84383381820699,8e+06
"304","Carmelo Anthony","SF",1573,556,299,62,38,-740,-69,-176,72,8.81422308651037,22875000
"305","Cleanthony Early","SF",31,26,6,2,3,-28,-1,-9,17,1.30804017851548,845059
"306","Derrick Williams","SF",746,296,75,29,9,-311,-62,-61,80,3.61954250136013,4900000
"307","Jerian Grant","PG",426,143,177,50,10,-237,-27,-87,76,2.94019611720997,1572360
"308","Jimmer Fredette","SG",7,0,0,0,0,0,-1,-1,2,1.00915298298769,622254
"309","Jose Calderon","PG",544,229,299,63,7,-246,-6,-87,72,3.6118551800267,7402812
"310","Kevin Seraphin","C",187,126,47,8,36,-121,-4,-43,48,2.52017463447522,2800000
"311","Kristaps Porzingis","PF",1028,526,93,53,134,-513,-39,-121,72,7.51506193395929,4131720
"312","Kyle O'Quinn","PF",309,250,72,20,49,-142,-14,-61,65,3.3615434330652,3750000
"313","Lance Thomas","PF",484,131,53,22,7,-213,-17,-57,59,3.24479848590159,1650000
"314","Langston Galloway","PG",625,288,207,77,22,-357,-28,-61,82,3.88403152891651,845059
"315","Lou Amundson","PF",52,49,12,6,7,-34,-13,-15,29,1.86353739674295,1650000
"316","Robin Lopez","C",842,602,114,16,129,-305,-33,-133,82,4.92919468036325,1.3e+07
"317","Sasha Vujacic","SG",296,149,84,34,5,-171,-7,-44,61,2.89505008358351,1356146
"318","Thanasis Antetokounmpo","SF",6,1,0,0,0,-1,0,0,2,0.369316322325473,105888
"319","Andre Roberson","SG",337,251,47,53,42,-138,-21,-35,70,3.95429969770507,1210800
"320","Anthony Morrow","SG",380,62,24,22,5,-197,-10,-17,68,1.83036545313345,3344000
"321","Cameron Payne","PG",283,85,108,36,6,-164,-5,-44,57,2.29478547219984,2021520
"322","D.J. Augustin","PG",142,43,66,13,2,-75,-8,-30,34,2.03356149571872,3e+06
"323","Dion Waiters","SG",762,202,154,81,15,-424,-45,-120,78,5.2854071592192,5138430
"324","Enes Kanter","C",1038,664,33,26,33,-305,-51,-115,82,4.34955184052657,16400000
"325","Josh Huestis","PF",14,10,0,1,2,-7,-4,-3,5,2.36229400247692,1140240
"326","Kevin Durant","SF",2029,589,361,69,85,-683,-51,-250,72,10.3116124908733,20158622
"327","Kyle Singler","SF",231,141,24,30,9,-135,-15,-32,68,1.88053288147214,5e+06
"328","Mitch McGary","PF",26,18,3,1,2,-12,-6,-7,20,1.01499738477102,1463040
"329","Nazr Mohammed","C",8,4,0,0,0,-2,0,-3,5,0.646572627963613,352750
"330","Nick Collison","PF",123,171,52,15,16,-59,-10,-50,59,2.2456037355975,3750000
"331","Randy Foye","SG",151,51,49,13,13,-97,-5,-28,27,3.81529667975551,3270000
